case_id,customer_message,gold_intent,rank,similarity,historical_customer_message,historical_amazon_reply
AMZ-001,@AmazonHelp We have tried to pay since and your niw saying out of stock but the email said payment was needed by today,payment_billing,1,0.3056,@AmazonHelp I needed it today...,@677334 Unforeseen circumstances can cause delays. What does tracking currently indicate? https://t.co/glHmpcWnaZ ^BE
AMZ-001,@AmazonHelp We have tried to pay since and your niw saying out of stock but the email said payment was needed by today,payment_billing,2,0.3052,@AmazonHelp Tried - but all they can tell me is that it’s out of stock,@744232 We can send you email alerts when it does come back in stock. https://t.co/9eiBNGC03r Hopefully this helps! ^DJ
AMZ-001,@AmazonHelp We have tried to pay since and your niw saying out of stock but the email said payment was needed by today,payment_billing,3,0.2754,@AmazonHelp Tried that.,@222883 Has it been 36 hours since the order was marked as being delivered?  ^FJ
AMZ-002,@AmazonHelp No idea. My app tells me it was delivered.,delivery_issue,1,0.5007,@AmazonHelp Any idea?,"@439221 When a payment is declined on a pre-order, it may result in a longer processing time. I'm sorry for the inconvenience. ^WT"
AMZ-002,@AmazonHelp No idea. My app tells me it was delivered.,delivery_issue,2,0.5007,@AmazonHelp If i give you an idea. What will you give for me.,"@472998 We encourage and value customers feedback for our betterment. However, I'm sorry we do not provide remuneration. ^NR"
AMZ-002,@AmazonHelp No idea. My app tells me it was delivered.,delivery_issue,3,0.5007,@AmazonHelp I have no idea.,@497406 What options were gone over when you reached out earlier? ^DO
AMZ-003,"@AmazonHelp Arriving Today: Your package with Dell KM117 Wireless Keyboard Mouse is out for delivery.Amt: Rs.1,399. [URL]",delivery_issue,1,0.3814,"@AmazonHelp Arriving today
Out for delivery","@488267 If you're not receiving an updated delivery date, please reach out to us for available options: https://t.co/JzP7hlA23B ^JP"
AMZ-003,"@AmazonHelp Arriving Today: Your package with Dell KM117 Wireless Keyboard Mouse is out for delivery.Amt: Rs.1,399. [URL]",delivery_issue,2,0.3382,@AmazonHelp Arriving today. Still. Beyond unimpressed.,"@703827 If it hasn't arrived by tomorrow evening, please don't hesitate to reach out to us here: https://t.co/Q7Ftz6nj80 ^LJ"
AMZ-003,"@AmazonHelp Arriving Today: Your package with Dell KM117 Wireless Keyboard Mouse is out for delivery.Amt: Rs.1,399. [URL]",delivery_issue,3,0.3242,@AmazonHelp Arriving today not yet dispatched,@736186 What delivery option did you choose during checkout? ^JJ
AMZ-004,"@AmazonHelp I did visit @117013  @125519 service center for help, 
They denied for service, and claimed that the replace/ repair of this product will be handled by @115850 @115821 @AmazonHelp",product_issue,1,0.368,@AmazonHelp where is the service center of Netboon???????,"@183363 Mahesh, since you've emailed us the service denial letter, our team will look into it and get back to you. ^MS"
AMZ-004,"@AmazonHelp I did visit @117013  @125519 service center for help, 
They denied for service, and claimed that the replace/ repair of this product will be handled by @115850 @115821 @AmazonHelp",product_issue,2,0.3335,@AmazonHelp @115850 @115821 @AmazonHelp still no resolution ...,@304954 We've sent a correspondence to your registered email Id here: https://t.co/NTkrxpsbHJ. Kindly check. ^PS
AMZ-004,"@AmazonHelp I did visit @117013  @125519 service center for help, 
They denied for service, and claimed that the replace/ repair of this product will be handled by @115850 @115821 @AmazonHelp",product_issue,3,0.3334,@AmazonHelp Why would they issue a service denial letter from a service center if THEY HAVE A SERVICE CENTER in some place else? What is this a joke?,@202184 In that case you can get the product serviced. Do keep us posted for any further concerns. ^SG
AMZ-005,"@AmazonHelp Hi @AmazonHelp, I submitted a copy of my bank statement for verification that was downloaded off online banking, it was declined and when I questioned it you have claimed it is a screenshot when it was a PDF from my internet banking.",account_access,1,0.3195,@AmazonHelp No the thing is I can’t even register to do my online banking. I never got my card in the mail.,@445115 You can call Synchrony Bank at 1-866-634-8379 to make a payment and request a new card. ^ZW
AMZ-005,"@AmazonHelp Hi @AmazonHelp, I submitted a copy of my bank statement for verification that was downloaded off online banking, it was declined and when I questioned it you have claimed it is a screenshot when it was a PDF from my internet banking.",account_access,2,0.2842,"@AmazonHelp I can't find it anywhere in my orders, I only see it on my bank statement.",@118235 Please reach out directly to us using the link provided by ^MV so that we can take a closer look. ^TN
AMZ-005,"@AmazonHelp Hi @AmazonHelp, I submitted a copy of my bank statement for verification that was downloaded off online banking, it was declined and when I questioned it you have claimed it is a screenshot when it was a PDF from my internet banking.",account_access,3,0.2517,@AmazonHelp i already submitted do u not get it...??,"@629169 We've received your details, Himanshu. We'll look into it and get back to you soon. Appreciate your patience. ^MO"
