case_id,customer_message,gold_intent,predicted_intent,decision,reply,top_evidence_customer,top_evidence_reply
AMZ-001,@AmazonHelp We have tried to pay since and your niw saying out of stock but the email said payment was needed by today,payment_billing,payment_billing,AUTO-HANDLE,"Thanks for reaching out. I found a similar historical AmazonHelp case, but the available context is not specific enough to safely recommend an exact resolution. Please use the official Amazon support channel so a team member can investigate.",@AmazonHelp I needed it today...,@677334 Unforeseen circumstances can cause delays. What does tracking currently indicate? https://t.co/glHmpcWnaZ ^BE
AMZ-002,@AmazonHelp No idea. My app tells me it was delivered.,delivery_issue,delivery_issue,AUTO-HANDLE,"Thanks for reaching out. For delivery problems like this, AmazonHelp has historically started by checking the delivery details and whether the package may have been left at another location. If you still cannot locate it, contact Amazon support through the official channel so the team can investigate the delivery.",@AmazonHelp I have no idea.,@497406 What options were gone over when you reached out earlier? ^DO
AMZ-003,"@AmazonHelp Arriving Today: Your package with Dell KM117 Wireless Keyboard Mouse is out for delivery.Amt: Rs.1,399. [URL]",delivery_issue,delivery_issue,AUTO-HANDLE,"Thanks for reaching out. For delivery problems like this, AmazonHelp has historically started by checking the delivery details and whether the package may have been left at another location. If you still cannot locate it, contact Amazon support through the official channel so the team can investigate the delivery.","@AmazonHelp Arriving today
Out for delivery","@488267 If you're not receiving an updated delivery date, please reach out to us for available options: https://t.co/JzP7hlA23B ^JP"
AMZ-004,"@AmazonHelp I did visit @117013  @125519 service center for help, 
They denied for service, and claimed that the replace/ repair of this product will be handled by @115850 @115821 @AmazonHelp",product_issue,product_issue,AUTO-HANDLE,Thanks for reaching out. AmazonHelp has historically handled similar product issues by reviewing the item and order details before suggesting the appropriate support option. Please review the order and use the official Amazon support channel if you need further help.,@AmazonHelp where is the service center of Netboon???????,"@183363 Mahesh, since you've emailed us the service denial letter, our team will look into it and get back to you. ^MS"
AMZ-005,"@AmazonHelp Hi @AmazonHelp, I submitted a copy of my bank statement for verification that was downloaded off online banking, it was declined and when I questioned it you have claimed it is a screenshot when it was a PDF from my internet banking.",account_access,other,ESCALATE,Thanks for reaching out. I’m sorry you’re dealing with this. I’d like a support specialist to take a closer look and help resolve it.,@AmazonHelp No the thing is I can’t even register to do my online banking. I never got my card in the mail.,@445115 You can call Synchrony Bank at 1-866-634-8379 to make a payment and request a new card. ^ZW
AMZ-006,@AmazonHelp I tried now with Firefox and the buy button is still grey and when I try Instant access it says an internal error has occurred in our system,other,account_access,AUTO-HANDLE,Thanks for reaching out. AmazonHelp has historically handled similar account issues by checking the account/access details. Please use Amazon’s official account-support channel so the team can investigate without you sharing sensitive account information here.,"@AmazonHelp ""An Unknown error occurred""","@316227 We'd like to look into this further with you. When you have a moment, please reach out to us here: https://t.co/EKXRLsnxJu ^AC"
AMZ-007,@AmazonHelp Thanks for ur reply..i m referring movie XXX : Return of Xander Cage &amp; TV series Walking dead.,refund_return,refund_return,AUTO-HANDLE,Thanks for reaching out. AmazonHelp has historically directed similar return or refund cases to the order’s return/refund support flow. Please review the return or refund status for the order and contact Amazon support if the status does not match what you expect.,@AmazonHelp Thanks. Am i correct that these are TV series rather than any films?,@360117 Your purchased film downloads will be available to watch abroad! You also have the option to watch select Prime shows.  ^FD
AMZ-008,@AmazonHelp Solicitud (foto del estado de cuenta),other,other,ESCALATE,Thanks for reaching out. I’m sorry you’re dealing with this. I’d like a support specialist to take a closer look and help resolve it.,@AmazonHelp Anexo foto: https://t.co/5RslMch0qW,"@416965 Como se te informa ha sufrido un retraso. ¿Has consultado las opciones disponibles en ""Ver opciones""? ^JD"
AMZ-009,@AmazonHelp I have two orders that are delayed right now.,other,other,ESCALATE,Thanks for reaching out. I’m sorry you’re dealing with this. I’d like a support specialist to take a closer look and help resolve it.,@AmazonHelp Still no orders show up,@350052 Did you receive an order confirmation e-mail when you placed the order? Have you checked your e-mail for any order updates? ^CO
AMZ-010,@AmazonHelp Already reported. Please re-ship my order. I'll not place a fresh order.,order_issue,order_issue,AUTO-HANDLE,Thanks for reaching out. AmazonHelp has historically handled similar order cases by checking the order details and the available order-support options. Please review the order in Amazon and use the official support channel if you need the team to investigate it.,@AmazonHelp If i place the fresh order im being charged extra for delivery by today,"@146154 If you haven't subscribed to Prime, you will be charged for one-day, two-day, guarantee delivery and so on. Appreciate your co-operation. ^PB"
AMZ-011,"@AmazonHelp Yes Canada post always return back the packages to the post office to pick them while I left them a note to leave it on front of the door. So now I have to go to the post office and drag my 49"" TV and my ps4 home walking!",refund_return,delivery_issue,AUTO-HANDLE,"Thanks for reaching out. For delivery problems like this, AmazonHelp has historically started by checking the delivery details and whether the package may have been left at another location. If you still cannot locate it, contact Amazon support through the official channel so the team can investigate the delivery.","@AmazonHelp It’s no YOU, it’s the post office. The post office will not deliver a second time during the day. It’s once and gone.",@282867 My apologies. Did it say in the tracking the attempted delivery? ^PK
AMZ-012,@AmazonHelp We have 2 work 2gether to accommodate UR new service.  I simply need 2 know how exactly U instruct AF customers re disposition of the large green insulated carriers.  Not a difficult question--need the written instrux.,other,other,ESCALATE,Thanks for reaching out. I’m sorry you’re dealing with this. I’d like a support specialist to take a closer look and help resolve it.,"@AmazonHelp I'm at work so, it's difficult","@466881 When you get a chance, please contact us directly here: https://t.co/JzP7hlA23B. You can contact by phone, chat or email. ^PK"
AMZ-013,@AmazonHelp Many sellers are affected by this!  We can't get our money disbursed from Amazon seller accounts.  It's been going on for a week !,product_issue,product_issue,AUTO-HANDLE,Thanks for reaching out. AmazonHelp has historically handled similar product issues by reviewing the item and order details before suggesting the appropriate support option. Please review the order and use the official Amazon support channel if you need further help.,@AmazonHelp One of your sellers,@290278 Thanks for confirming! Have you reached out to the seller using the guidance found here: https://t.co/sraP2KUZZg? ^ST
AMZ-014,@AmazonHelp So then I will return it and purchase it again for the new price,refund_return,refund_return,AUTO-HANDLE,Thanks for reaching out. AmazonHelp has historically directed similar return or refund cases to the order’s return/refund support flow. Please review the return or refund status for the order and contact Amazon support if the status does not match what you expect.,@AmazonHelp What do I get in return ?,"@552107 As of now, we don't have bug reward program. We could improve our services using your inputs. ^GS"
AMZ-015,@AmazonHelp  [URL],other,other,ESCALATE,Thanks for reaching out. I’m sorry you’re dealing with this. I’d like a support specialist to take a closer look and help resolve it.,@AmazonHelp What is the url need to be filled in the form,@466867 URL for the message would be the link of your tweet to us. ^MN
AMZ-016,"@AmazonHelp I have replied to it many and still have not received any response, sending you a legal notification for closing this fraud business",other,other,ESCALATE,Thanks for reaching out. I’m sorry you’re dealing with this. I’d like a support specialist to take a closer look and help resolve it.,@AmazonHelp I have not received a response,@371156 Just to clarify did you send an e-mail or request a call? ^LS
AMZ-017,@AmazonHelp I ordered in US..,order_issue,order_issue,AUTO-HANDLE,Thanks for reaching out. AmazonHelp has historically handled similar order cases by checking the order details and the available order-support options. Please review the order in Amazon and use the official support channel if you need the team to investigate it.,@AmazonHelp That’s why I ordered,@630475 I'm sorry for the delayed shipping. We're here to help and would like to take a closer look here: https://t.co/hApLpMlfHN ^SE
AMZ-018,@AmazonHelp I must say something that #Amazon has gone #worst yesterday ur agent told me someone will come to picup the product today before 10 its 1:15 in india still the product lies with me pls #help #customerservice #complain,product_issue,product_issue,AUTO-HANDLE,Thanks for reaching out. AmazonHelp has historically handled similar product issues by reviewing the item and order details before suggesting the appropriate support option. Please review the order and use the official Amazon support channel if you need further help.,@AmazonHelp Is there anything else you say?,"@185733 Please do not worry, we're working on the issue. ^HN"
AMZ-019,@AmazonHelp @115851 submitting details for the fifth time. Such poor customer service. Initiate refund asap,refund_return,refund_return,ESCALATE,Thanks for reaching out. I’m sorry you’re dealing with this. I’d like a support specialist to take a closer look and help resolve it.,@AmazonHelp @115851 Didn't receive any updates. Initiate refund asap.,@162537 That's odd. Sorry to know. Please check your inbox/ spam folders for a correspondence sent to your registered email. ^SV
AMZ-020,"@AmazonHelp I wrote back, but no updates. I was told I will get an update but i didn't. @115851 kindly help. it's been 10 days. Initiate refund",refund_return,refund_return,ESCALATE,Thanks for reaching out. I’m sorry you’re dealing with this. I’d like a support specialist to take a closer look and help resolve it.,@AmazonHelp Already wrote them but not heard back yet,@199881 We would like to help you. Please share your details with us here: https://t.co/GIJyeYqKE0. We'll get in touch shortly. ^CB
AMZ-021,"@AmazonHelp Haha! Link requires me to log in to do anything :-P
Already sent an email of sorts, but thank you for trying to help. I appreciate it!",account_access,account_access,ESCALATE,Thanks for reaching out. I’m sorry you’re dealing with this. I’d like a support specialist to take a closer look and help resolve it.,@AmazonHelp Haha it can’t understand his name so will make all sorts of wrong offerings.,@493910 Are you able to submit feedback on the Alexa app? ^PK
AMZ-022,@AmazonHelp The delivery deadline was yesterday,delivery_issue,delivery_issue,AUTO-HANDLE,"Thanks for reaching out. For delivery problems like this, AmazonHelp has historically started by checking the delivery details and whether the package may have been left at another location. If you still cannot locate it, contact Amazon support through the official channel so the team can investigate the delivery.",@AmazonHelp Out for delivery,@326104 We deliver up to 21:00!  Please let us know when you recieve your parcel! ^MW
AMZ-023,@AmazonHelp Very unhappy prime customer ATM!,prime_membership,prime_membership,AUTO-HANDLE,Thanks for reaching out. AmazonHelp has historically handled similar Prime or membership questions by checking the membership details. Please review your Prime membership status and contact Amazon support through the official channel if it does not look correct.,@AmazonHelp Unhappy with your service 😔,@201075 Sorry for the unpleasant experience. Please let us know what went wrong so that we can assist you accordingly. ^SH
AMZ-024,@AmazonHelp @119535 Why not?? U r depriving so many potential customers @132994 by not offering @25605 EMI card...wrong decision,payment_billing,payment_billing,AUTO-HANDLE,"Thanks for reaching out. I found a similar historical AmazonHelp case, but the available context is not specific enough to safely recommend an exact resolution. Please use the official Amazon support channel so a team member can investigate.",@AmazonHelp Thanks.. Pleas reply me when your decision is done.,@419458 We have shared your comments internally. But we'll not be able to share the results. You can keep a tab on our web page . ^CB
AMZ-025,@AmazonHelp Not getting any help for the refund. There are 5 items pending for the refund. How can I solve it?,refund_return,refund_return,AUTO-HANDLE,Thanks for reaching out. AmazonHelp has historically directed similar return or refund cases to the order’s return/refund support flow. Please review the return or refund status for the order and contact Amazon support if the status does not match what you expect.,@AmazonHelp Done all that! Not getting any help.,"@193838 In that case, please share your details here: https://t.co/beaaDm0muc &amp; we'll have a closer look into it. ^RS"
