case_id,tweet_id,customer_message,gold_intent,gold_escalate,predicted_intent,confidence,decision,reason,reply,evidence_count,top_evidence_customer,top_evidence_reply
AMZ-001,138995,@AmazonHelp We have tried to pay since and your niw saying out of stock but the email said payment was needed by today,payment_billing,AUTO-HANDLE,payment_billing,0.995,AUTO-HANDLE,routine supported intent with sufficient confidence,"Thanks for reaching out. I found a similar historical AmazonHelp case, but the available context is not specific enough to safely recommend an exact resolution. Please use the official Amazon support channel so a team member can investigate.",3,@AmazonHelp I needed it today...,@677334 Unforeseen circumstances can cause delays. What does tracking currently indicate? https://t.co/glHmpcWnaZ ^BE
AMZ-002,73462,@AmazonHelp No idea. My app tells me it was delivered.,delivery_issue,AUTO-HANDLE,delivery_issue,0.814,AUTO-HANDLE,routine supported intent with sufficient confidence,"Thanks for reaching out. For delivery problems like this, AmazonHelp has historically started by checking the delivery details and whether the package may have been left at another location. If you still cannot locate it, contact Amazon support through the official channel so the team can investigate the delivery.",3,@AmazonHelp I have no idea.,@497406 What options were gone over when you reached out earlier? ^DO
AMZ-003,19435,"@AmazonHelp Arriving Today: Your package with Dell KM117 Wireless Keyboard Mouse is out for delivery.Amt: Rs.1,399. [URL]",delivery_issue,AUTO-HANDLE,delivery_issue,0.968,AUTO-HANDLE,routine supported intent with sufficient confidence,"Thanks for reaching out. For delivery problems like this, AmazonHelp has historically started by checking the delivery details and whether the package may have been left at another location. If you still cannot locate it, contact Amazon support through the official channel so the team can investigate the delivery.",3,"@AmazonHelp Arriving today
Out for delivery","@488267 If you're not receiving an updated delivery date, please reach out to us for available options: https://t.co/JzP7hlA23B ^JP"
AMZ-004,138083,"@AmazonHelp I did visit @117013  @125519 service center for help, 
They denied for service, and claimed that the replace/ repair of this product will be handled by @115850 @115821 @AmazonHelp",product_issue,AUTO-HANDLE,product_issue,0.799,AUTO-HANDLE,routine supported intent with sufficient confidence,Thanks for reaching out. AmazonHelp has historically handled similar product issues by reviewing the item and order details before suggesting the appropriate support option. Please review the order and use the official Amazon support channel if you need further help.,3,@AmazonHelp where is the service center of Netboon???????,"@183363 Mahesh, since you've emailed us the service denial letter, our team will look into it and get back to you. ^MS"
AMZ-005,2893128,"@AmazonHelp Hi @AmazonHelp, I submitted a copy of my bank statement for verification that was downloaded off online banking, it was declined and when I questioned it you have claimed it is a screenshot when it was a PDF from my internet banking.",account_access,AUTO-HANDLE,other,0.408,ESCALATE,low intent confidence; unsupported or ambiguous intent,Thanks for reaching out. I’m sorry you’re dealing with this. I’d like a support specialist to take a closer look and help resolve it.,3,@AmazonHelp No the thing is I can’t even register to do my online banking. I never got my card in the mail.,@445115 You can call Synchrony Bank at 1-866-634-8379 to make a payment and request a new card. ^ZW
AMZ-006,49169,@AmazonHelp I tried now with Firefox and the buy button is still grey and when I try Instant access it says an internal error has occurred in our system,other,AUTO-HANDLE,account_access,0.626,AUTO-HANDLE,routine supported intent with sufficient confidence,Thanks for reaching out. AmazonHelp has historically handled similar account issues by checking the account/access details. Please use Amazon’s official account-support channel so the team can investigate without you sharing sensitive account information here.,3,"@AmazonHelp ""An Unknown error occurred""","@316227 We'd like to look into this further with you. When you have a moment, please reach out to us here: https://t.co/EKXRLsnxJu ^AC"
AMZ-007,2821603,@AmazonHelp Thanks for ur reply..i m referring movie XXX : Return of Xander Cage &amp; TV series Walking dead.,refund_return,AUTO-HANDLE,refund_return,0.63,AUTO-HANDLE,routine supported intent with sufficient confidence,Thanks for reaching out. AmazonHelp has historically directed similar return or refund cases to the order’s return/refund support flow. Please review the return or refund status for the order and contact Amazon support if the status does not match what you expect.,3,@AmazonHelp Thanks. Am i correct that these are TV series rather than any films?,@360117 Your purchased film downloads will be available to watch abroad! You also have the option to watch select Prime shows.  ^FD
AMZ-008,5293,@AmazonHelp Solicitud (foto del estado de cuenta),other,AUTO-HANDLE,other,0.73,ESCALATE,unsupported or ambiguous intent,Thanks for reaching out. I’m sorry you’re dealing with this. I’d like a support specialist to take a closer look and help resolve it.,3,@AmazonHelp Anexo foto: https://t.co/5RslMch0qW,"@416965 Como se te informa ha sufrido un retraso. ¿Has consultado las opciones disponibles en ""Ver opciones""? ^JD"
AMZ-009,2972811,@AmazonHelp I have two orders that are delayed right now.,other,AUTO-HANDLE,other,0.652,ESCALATE,unsupported or ambiguous intent,Thanks for reaching out. I’m sorry you’re dealing with this. I’d like a support specialist to take a closer look and help resolve it.,3,@AmazonHelp Still no orders show up,@350052 Did you receive an order confirmation e-mail when you placed the order? Have you checked your e-mail for any order updates? ^CO
AMZ-010,74845,@AmazonHelp Already reported. Please re-ship my order. I'll not place a fresh order.,order_issue,AUTO-HANDLE,order_issue,1.0,AUTO-HANDLE,routine supported intent with sufficient confidence,Thanks for reaching out. AmazonHelp has historically handled similar order cases by checking the order details and the available order-support options. Please review the order in Amazon and use the official support channel if you need the team to investigate it.,3,@AmazonHelp If i place the fresh order im being charged extra for delivery by today,"@146154 If you haven't subscribed to Prime, you will be charged for one-day, two-day, guarantee delivery and so on. Appreciate your co-operation. ^PB"
AMZ-011,2906568,"@AmazonHelp Yes Canada post always return back the packages to the post office to pick them while I left them a note to leave it on front of the door. So now I have to go to the post office and drag my 49"" TV and my ps4 home walking!",refund_return,AUTO-HANDLE,delivery_issue,0.685,AUTO-HANDLE,routine supported intent with sufficient confidence,"Thanks for reaching out. For delivery problems like this, AmazonHelp has historically started by checking the delivery details and whether the package may have been left at another location. If you still cannot locate it, contact Amazon support through the official channel so the team can investigate the delivery.",3,"@AmazonHelp It’s no YOU, it’s the post office. The post office will not deliver a second time during the day. It’s once and gone.",@282867 My apologies. Did it say in the tracking the attempted delivery? ^PK
AMZ-012,14020,@AmazonHelp We have 2 work 2gether to accommodate UR new service.  I simply need 2 know how exactly U instruct AF customers re disposition of the large green insulated carriers.  Not a difficult question--need the written instrux.,other,AUTO-HANDLE,other,0.327,ESCALATE,low intent confidence; unsupported or ambiguous intent,Thanks for reaching out. I’m sorry you’re dealing with this. I’d like a support specialist to take a closer look and help resolve it.,3,"@AmazonHelp I'm at work so, it's difficult","@466881 When you get a chance, please contact us directly here: https://t.co/JzP7hlA23B. You can contact by phone, chat or email. ^PK"
AMZ-013,30549,@AmazonHelp Many sellers are affected by this!  We can't get our money disbursed from Amazon seller accounts.  It's been going on for a week !,product_issue,ESCALATE,product_issue,0.83,AUTO-HANDLE,routine supported intent with sufficient confidence,Thanks for reaching out. AmazonHelp has historically handled similar product issues by reviewing the item and order details before suggesting the appropriate support option. Please review the order and use the official Amazon support channel if you need further help.,3,@AmazonHelp One of your sellers,@290278 Thanks for confirming! Have you reached out to the seller using the guidance found here: https://t.co/sraP2KUZZg? ^ST
AMZ-014,2837048,@AmazonHelp So then I will return it and purchase it again for the new price,refund_return,AUTO-HANDLE,refund_return,0.993,AUTO-HANDLE,routine supported intent with sufficient confidence,Thanks for reaching out. AmazonHelp has historically directed similar return or refund cases to the order’s return/refund support flow. Please review the return or refund status for the order and contact Amazon support if the status does not match what you expect.,3,@AmazonHelp What do I get in return ?,"@552107 As of now, we don't have bug reward program. We could improve our services using your inputs. ^GS"
AMZ-015,2969415,@AmazonHelp  [URL],other,AUTO-HANDLE,other,0.747,ESCALATE,unsupported or ambiguous intent,Thanks for reaching out. I’m sorry you’re dealing with this. I’d like a support specialist to take a closer look and help resolve it.,3,@AmazonHelp What is the url need to be filled in the form,@466867 URL for the message would be the link of your tweet to us. ^MN
AMZ-016,12527,"@AmazonHelp I have replied to it many and still have not received any response, sending you a legal notification for closing this fraud business",other,ESCALATE,other,0.587,ESCALATE,higher-risk/legal/fraud wording; low intent confidence; unsupported or ambiguous intent,Thanks for reaching out. I’m sorry you’re dealing with this. I’d like a support specialist to take a closer look and help resolve it.,3,@AmazonHelp I have not received a response,@371156 Just to clarify did you send an e-mail or request a call? ^LS
AMZ-017,2930671,@AmazonHelp I ordered in US..,order_issue,AUTO-HANDLE,order_issue,1.0,AUTO-HANDLE,routine supported intent with sufficient confidence,Thanks for reaching out. AmazonHelp has historically handled similar order cases by checking the order details and the available order-support options. Please review the order in Amazon and use the official support channel if you need the team to investigate it.,3,@AmazonHelp That’s why I ordered,@630475 I'm sorry for the delayed shipping. We're here to help and would like to take a closer look here: https://t.co/hApLpMlfHN ^SE
AMZ-018,2835684,@AmazonHelp I must say something that #Amazon has gone #worst yesterday ur agent told me someone will come to picup the product today before 10 its 1:15 in india still the product lies with me pls #help #customerservice #complain,product_issue,AUTO-HANDLE,product_issue,0.978,AUTO-HANDLE,routine supported intent with sufficient confidence,Thanks for reaching out. AmazonHelp has historically handled similar product issues by reviewing the item and order details before suggesting the appropriate support option. Please review the order and use the official Amazon support channel if you need further help.,3,@AmazonHelp Is there anything else you say?,"@185733 Please do not worry, we're working on the issue. ^HN"
AMZ-019,197957,@AmazonHelp @115851 submitting details for the fifth time. Such poor customer service. Initiate refund asap,refund_return,ESCALATE,refund_return,0.93,ESCALATE,repeated or unresolved problem,Thanks for reaching out. I’m sorry you’re dealing with this. I’d like a support specialist to take a closer look and help resolve it.,3,@AmazonHelp @115851 Didn't receive any updates. Initiate refund asap.,@162537 That's odd. Sorry to know. Please check your inbox/ spam folders for a correspondence sent to your registered email. ^SV
AMZ-020,197934,"@AmazonHelp I wrote back, but no updates. I was told I will get an update but i didn't. @115851 kindly help. it's been 10 days. Initiate refund",refund_return,ESCALATE,refund_return,0.972,ESCALATE,repeated or unresolved problem,Thanks for reaching out. I’m sorry you’re dealing with this. I’d like a support specialist to take a closer look and help resolve it.,3,@AmazonHelp Already wrote them but not heard back yet,@199881 We would like to help you. Please share your details with us here: https://t.co/GIJyeYqKE0. We'll get in touch shortly. ^CB
AMZ-021,73633,"@AmazonHelp Haha! Link requires me to log in to do anything :-P
Already sent an email of sorts, but thank you for trying to help. I appreciate it!",account_access,AUTO-HANDLE,account_access,0.474,ESCALATE,low intent confidence,Thanks for reaching out. I’m sorry you’re dealing with this. I’d like a support specialist to take a closer look and help resolve it.,3,@AmazonHelp Haha it can’t understand his name so will make all sorts of wrong offerings.,@493910 Are you able to submit feedback on the Alexa app? ^PK
